PM2,PM10,SO2,NO2,CO,O3,U,V,Temperature,RH,PSFC,Year,Statistics,Country,code
114.3954944,134.0296175,36.49417148,40.1566439,1.663286225,32.11512451,-1.032357886,-1.215324682,275.8891862,63.38671798,101332.0948,2013,Jan Average,Anhui,340000
83.80509069,95.88592935,22.44076081,23.77085681,1.107323766,44.27396399,-2.747836213,-1.244895363,278.3298591,74.21001422,101126.9628,2013,Feb Average,Anhui,340000
61.40535936,91.23856257,21.89812651,27.13034675,0.792695177,51.4283167,-1.359795629,-0.034088473,284.3384885,58.88928391,100535.2402,2013,Mar Average,Anhui,340000
53.986,83.20946634,19.33681922,23.56956026,0.662530402,64.11080022,-0.363420738,0.15954126,288.8849023,50.8784506,100095.4711,2013,Apr Average,Anhui,340000
57.17694652,77.39294578,16.58828045,20.33176789,0.645439739,71.27864558,-1.132429337,0.906352842,294.749618,64.65093097,99593.96764,2013,May Average,Anhui,340000
58.00455863,71.41117318,15.41135722,17.94336319,0.547194354,74.80827633,-2.524819761,0.508146037,297.7608523,72.23331216,99232.63425,2013,Jun Average,Anhui,340000
26.61440475,40.70527319,12.34885678,13.41384995,0.356686981,63.30998792,1.845666176,4.997985184,302.5891951,68.46668646,99012.14282,2013,Jul Average,Anhui,340000
33.82636703,53.89864138,14.4150021,15.20920143,0.451123779,69.01970316,-1.03483871,1.025039928,302.4070085,66.23466271,99155.80451,2013,Aug Average,Anhui,340000
51.16117915,67.35957058,17.94043974,20.53263301,0.603123236,66.96482682,-2.767110749,-1.488635722,295.3420282,72.51533822,100053.956,2013,Sep Average,Anhui,340000
68.4179316,90.14435326,21.09224546,27.3328964,0.726878218,57.33567563,-2.513898813,-2.500493853,290.9322759,59.29263161,100670.0244,2013,Oct Average,Anhui,340000
84.38372801,119.9614012,28.88284745,34.00615418,1.001065147,33.9217063,0.387042345,-1.625196526,284.7940635,53.15552932,100940.523,2013,Nov Average,Anhui,340000
132.7758075,165.917154,40.35773931,43.07325891,1.426844069,29.40897236,0.397825996,-2.108746979,277.9287197,48.04489125,101214.4088,2013,Dec Average,Anhui,340000
115.3924624,141.5624714,29.61438006,35.61915362,1.268818956,31.50925607,-0.803842598,-0.270114007,279.0777735,52.47983083,101196.2806,2014,Jan Average,Anhui,340000
69.56695091,78.98469346,19.42399546,20.96536063,1.014810377,39.85488483,-2.927490693,-2.555735807,277.2610307,74.88212308,101086.1802,2014,Feb Average,Anhui,340000
61.23742881,88.23456026,20.29301776,22.67384522,0.81583167,52.46374488,-1.88825943,0.504093727,284.8923426,60.8000352,100648.1507,2014,Mar Average,Anhui,340000
52.98137242,73.63761346,16.14431433,20.35277144,0.699226384,57.77246526,-2.567151466,-0.35829316,289.3065543,66.79896417,100276.658,2014,Apr Average,Anhui,340000
59.06582747,97.89388148,15.90982242,17.5909026,0.651173164,71.85998634,-0.785392981,1.31638384,294.8450415,53.85598771,99163.77047,2014,May Average,Anhui,340000
65.10762758,80.49892996,15.84641477,15.63296634,0.724909338,83.63493974,-1.896218784,-0.286302389,298.0408415,64.59157763,99176.6865,2014,Jun Average,Anhui,340000
43.73470369,58.32347641,13.07528738,14.55147525,0.59660082,67.68718504,-1.287140906,0.476131659,299.9636929,74.24745455,99149.70861,2014,Jul Average,Anhui,340000
44.23971945,60.71912893,14.75814542,15.48491962,0.716974887,59.51453242,-1.774547652,-1.333479563,297.9030582,79.18776453,99408.87275,2014,Aug Average,Anhui,340000
44.74743431,64.4085152,16.56357546,18.54780076,0.882511401,56.47696743,-2.433675896,-2.024756786,295.4776607,80.33976113,99863.96294,2014,Sep Average,Anhui,340000
